SubjectArea,Subject,Band,Term,Definition
Technologies,Digital Technologies,Foundation to Year 10,query,"A question or request for data results from a database, e.g. queries can be actions, such as combining data to produce more in-depth responses or they can be simply answers to questions."
Technologies,Digital Technologies,Foundation to Year 10,real-world problems,Problems that exist; they are authentic and not hypothetical or do not happen in fiction. They draw on actual events or situations and can possibly be solved through computation.
Technologies,Digital Technologies,Foundation to Year 10,relational database,"A type of database that is structured to recognise relationships between stored data and information, e.g. data organised in tables can be linked based on data that is common to each."
Technologies,Digital Technologies,Foundation to Year 10,represent data,"How data is expressed and structured symbolically for storage and communication by people and in digital systems, e.g. people read symbols, and digital systems use binary to represent letters."
Technologies,Digital Technologies,Foundation to Year 10,represent documents,"Webpages represented as models showing their separate elements: content (text), structure (e.g. headings and paragraphs) and presentation (e.g. style) See also documents (represent)."
Technologies,Digital Technologies,Foundation to Year 10,security,"Assurances that resources such as data are protected, free from risk and reliable, e.g. data is encrypted when being transmitted."
Technologies,Digital Technologies,Foundation to Year 10,sequencing,A control structure that determines that each line of code (or statement) is followed in order to the end of the programme no matter what conditions are met.
Technologies,Digital Technologies,Foundation to Year 10,single-table database,"Databases structured as single tables with fields, records and files. Also known as flat-file databases or simply a flat file. Single-table databases cannot represent relationships between entities."
Technologies,Digital Technologies,Foundation to Year 10,software,"A set of programmes, procedures and routines associated with the operation of a digital system."
Technologies,Digital Technologies,Foundation to Year 10,structured data,"Data that is organised on a basis of a predefined model or schema and formatted in a way that shows relationships such as fields, rows, columns. This structuring makes the data more easily searchable."
Technologies,Digital Technologies,Foundation to Year 10,styling,"Representation of how a webpage is laid out, such as heading styles and placement of images."
Technologies,Digital Technologies,Foundation to Year 10,supply chain vulnerability,"Possible risks to a system involved in supplying a product or service (supply chain) to a consumer, e.g. a cyber attack resulting in malicious code stopping a system from functioning correctly."
Technologies,Digital Technologies,Foundation to Year 10,systems thinking,"A way of thinking holistically about the interactions and interconnections that shape the behaviour of systems. Systems thinkers consider the purpose, parts, order of events and feedback in a system."
Technologies,Digital Technologies,Foundation to Year 10,tablets,"Flat, thin, mobile computers fitted with a touchscreen display and a rechargeable battery. Finger or stylus gestures replace the conventional computer mouse."
Technologies,Digital Technologies,Foundation to Year 10,test cases,Sets of specifications or conditions and expected results used to systematically test if software solutions satisfy design criteria.
Technologies,Digital Technologies,Foundation to Year 10,trace,"The process of following an algorithm precisely to confirm it produces the expected output for a given input, e.g. a trace table allows for the manual checking of any logical errors."
Technologies,Digital Technologies,Foundation to Year 10,traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
Technologies,Digital Technologies,Foundation to Year 10,trusted adults,"Reliable people who children feel comfortable talking to if they are upset or need help when engaged in online activities. They might include family members, carers, teachers."
Technologies,Digital Technologies,Foundation to Year 10,types of data,"General categories of data that can be transmitted between digital systems, e.g. text (e.g. text message), numeric (e.g. sporting results), sound (e.g. streamed music) and images (e.g. photo)."
Technologies,Digital Technologies,Foundation to Year 10,user experience,The process used to create products that meet the design criteria and provide meaningful and relevant experiences to users. It encompasses all the end users' interactions with a product.
Technologies,Digital Technologies,Foundation to Year 10,user interface,The characteristics of the boundary between users and a digital system or the way in which users interact with hardware or software.
Technologies,Digital Technologies,Foundation to Year 10,user stories,"Short, simple descriptions of key software features that end users want from a digital solution. They often describe why the user wants particular features, and are part of the iterative design process."
Technologies,Digital Technologies,Foundation to Year 10,variables,Data values that can change depending on the conditions during the running of a programme. Variables are the named stored locations where the data values are held.
Technologies,Digital Technologies,Foundation to Year 10,visual programs,Programmeming language where the programme is mainly represented and manipulated graphically rather than as text. Statements and control structures within graphic blocks can be composed to form programmes.
Technologies,Digital Technologies,Foundation to Year 10,visualise data,"Process of presenting data in a summarised form to help with communication and analysis, e.g. sorting and presenting data as a chart showing spending trends to help make financial decisions."
Technologies,Digital Technologies,Foundation to Year 10,whole numbers,"Values represented as integers in digital systems that in turn are represented as binary numbers, e.g. capital A is represented by the whole number 65, or 01000001 in binary."
Technologies,Digital Technologies,Foundation to Year 10,wired,Digital systems that use cables (or wires) to establish connections to the internet and allow the transmission of data to other digital systems.
Technologies,Digital Technologies,Foundation to Year 10,wireless,"Digital systems that can transmit data to other systems without using cables,e.g. data can be transmitted via microwave signals, radio frequencies and bluetooth and infrared devices."
Technologies,Digital Technologies,Foundation to Year 10,workloads,"The ability of digital systems to handle and process computational requirements, e.g. the effort required by a gaming server to meet storage, communication and processing demands."
