SubjectArea,Subject,Band,Term,Definition
HASS,Geography,Year 7 to Year 10,secondary research material,"Researched materials related to a geographical inquiry (e.g. published research, data and information collected from the internet, libraries, archives, government or non-government agency reports)."
HASS,Geography,Year 7 to Year 10,settlement,"A place where people live, with types of settlements ranging in size from a single dwelling in a rural or remote area to a city."
HASS,Geography,Year 7 to Year 10,settlement pattern,"Spatial distribution of human settlement types, with smaller types typically forming patterns around larger ones (e.g. isolated dwellings, villages, towns, regional centres, large cities)."
HASS,Geography,Year 7 to Year 10,spatial variation,How and why geographic phenomena differ in arrangement across Earth's surface.
HASS,Geography,Year 7 to Year 10,topography,"The study of Earth's surface, including the arrangement of or shape of natural and human features (e.g. the topography of the island)."
HASS,Geography,Year 7 to Year 10,traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
HASS,Geography,Year 7 to Year 10,urban concentration,Percentage of the urban population of a country or region living in the largest city.
HASS,Geography,Year 7 to Year 10,urban place,"A developed place where people live, which has a density of human structures and often high population density (e.g. towns, cities and suburbs)."
HASS,Geography,Year 7 to Year 10,urbanisation,The process of economic and social change in which an increasing proportion of the population of a country or region lives in urban areas.
HASS,Geography,Year 7 to Year 10,validity,The state of being logically or factually sound.
HASS,Geography,Year 7 to Year 10,value of place,"People's recognition of, attachment to, emotional feelings about or identification with special or significant places which contribute to a sense of belonging, identity or wellbeing."
HASS,Geography,Year 7 to Year 10,values,Ideas and beliefs specific to individuals and groups.
HASS,Geography,Year 7 to Year 10,vegetation,"Plant life or plant cover arranged across Earth's surface (e.g. trees, grasses or mosses)."
HASS,Geography,Year 7 to Year 10,vegetation corridor,"Strips of vegetation that connect isolated vegetated areas, enable movement of animals and plants between places, reduce ecological effects of habitat fragmentation and help protect biodiversity."
HASS,Geography,Year 7 to Year 10,water resource,"A natural resource existing in different forms (e.g. freshwater, groundwater, precipitation), irregularly distributed and useful to people and their activities (e.g. agriculture, industry, household)."
HASS,Geography,Year 7 to Year 10,water scarcity,"Lack of sufficient available water resources to meet the demand due to water shortage (physical), lack of money to use an adequate water source (economic) or unequal distribution of water resources."
HASS,Geography,Year 7 to Year 10,water security,"Assurances that water resources are reliable and of a sufficient quality and quantity for people to sustain health, livelihoods, production and ensure protection against water-related disasters."
HASS,Geography,Year 7 to Year 10,weather,"The state of the atmosphere at a particular place and time, such as wind, temperature, atmospheric pressure, humidity, precipitation and cloudiness."
