SubjectArea,Subject,Band,Term,Definition
HASS,HASS,Foundation to Year 6,multi-faith,"Of a society or organisation characterised by support for, or free activity of, different beliefs and religions."
HASS,HASS,Foundation to Year 6,multicultural,"The belief and policy that Australians live in harmony whatever their cultural background, i.e. acceptance and encouragement of different cultures or cultural identities within the community."
HASS,HASS,Foundation to Year 6,multidimensional data,"Data that has many dimensions and values. The data is structured in many rows and columns and can be modelled and viewed in multiple dimensions, facilitating interpretation."
HASS,HASS,Foundation to Year 6,NAIDOC Week,"An annual event held in July to celebrate the histories, cultures and achievements of First Nations Australians; established by NAIDOC (National Aborigines and Islanders Day Observance Committee)."
HASS,HASS,Foundation to Year 6,National Sorry Day,An annual event held on 26 May to commemorate the Stolen Generations and which marks the anniversary of the tabling of the Bringing Them Home report in the Australian Parliament in 1997.
HASS,HASS,Foundation to Year 6,native title,"Recognition that First Nations Peoples of Australia have rights to and interests in lands and waters, as set out in Australian law, according to their traditional law and customs."
HASS,HASS,Foundation to Year 6,need,"Something that is necessary for survival (e.g. food, water, shelter)."
HASS,HASS,Foundation to Year 6,non-renewable,Of or relating to resources developed by geological processes over time which cannot be replenished quickly and are finite (e.g. mineral deposits and fossil fuels).
HASS,HASS,Foundation to Year 6,origin of source,Analysis of a source to establish who created the source as well as where and when it was produced.
HASS,HASS,Foundation to Year 6,parliament,"An assembly of elected representatives where government is formed, laws are made, government work is examined and the people are represented; it usually comprises a lower house and an upper house."
HASS,HASS,Foundation to Year 6,pictorial map,"A map that represents and visualises features in a landscape without a focus on aerial perspective, scale or other conventions."
HASS,HASS,Foundation to Year 6,pictorial timeline,A timeline made up of images put in chronological order without reference to a timescale.
HASS,HASS,Foundation to Year 6,primary sources,"Objects and documents created or written during the time being investigated (e.g. artefacts; official documents such as treaties; personal documents such as diaries, photographs and film)."
HASS,HASS,Foundation to Year 6,producer,An individual or business involved in production of goods and services.
HASS,HASS,Foundation to Year 6,product,Goods and services.
HASS,HASS,Foundation to Year 6,purpose (of source),Analysis of a source to establish the original reason for its creation.
HASS,HASS,Foundation to Year 6,referendum,A vote held about a change to the Australian Constitution. Any change needs approval from a national majority of electors in states and territories and a majority of electors in a majority of states.
HASS,HASS,Foundation to Year 6,region / regional,An area of the world sharing common characteristics (e.g. a geographical region such as South East Queensland or a regional intergovernmental organisation such as the Association of South-East Asian Nations (ASEAN))
HASS,HASS,Foundation to Year 6,register,The level of formality of language used for a particular purpose and audience. Generally variation in register moves from formal (Good morning) to informal (Hi).
HASS,HASS,Foundation to Year 6,renewable,"Of or relating to resources which can be replenished because they are naturally replaced, or can be replaced, such as solar power, animal life and timber."
HASS,HASS,Foundation to Year 6,representatives,"In a democratic system of government, people chosen by electors to represent them in a parliament and to make laws on their behalf."
HASS,HASS,Foundation to Year 6,resources,"The 4 factors of production used to produce goods and services that satisfy needs and wants: land, labour, capital and enterprise."
HASS,HASS,Foundation to Year 6,responsibilities,"Obligations associated with living in a modern democracy (e.g. in Australia this includes paying taxes, jury service, voting at elections)."
HASS,HASS,Foundation to Year 6,rights,Entitlements associated with living in a modern democracy (e.g. people in Australia enjoy the right to vote and freedom of speech).
HASS,HASS,Foundation to Year 6,rule of law,"Established legal principle that all people have equal rights before the law, the administration of the law is impartial, and that judges are independent."
HASS,HASS,Foundation to Year 6,rules,"A set of explicit or understood regulations or principles governing conduct or procedure in a particular area of activity (e.g. school rules, rules of cricket)."
HASS,HASS,Foundation to Year 6,seasonal calendar,A classification of weeks or months of a year into seasons (e.g. in Aboriginal cultures classifications vary and are finely tuned to local climates and availability of food and other resources).
HASS,HASS,Foundation to Year 6,secondary sources,"Accounts created after the time being investigated which refer to primary sources and present an interpretation (e.g. writings of historians, encyclopaedias, documentaries, textbooks and websites)."
HASS,HASS,Foundation to Year 6,sector,The 3 fields that organise industry. The primary sector produces goods that are natural resources (e.g. agriculture); secondary sector converts primary goods (e.g. manufacture); tertiary sector provides services.
HASS,HASS,Foundation to Year 6,separation of powers,"Doctrine that the 3 arms of government – the executive, the legislature (parliament) and the judiciary – are separate and independent, with powers that act as a check and balance on each other."
HASS,HASS,Foundation to Year 6,service,"A intangible product that satisfies needs and wants (e.g. education, communication, transportation, retail, recreation services)."
HASS,HASS,Foundation to Year 6,settlement,"A place where people live, with types of settlements ranging in size from a single dwelling in a rural or remote area to a city."
HASS,HASS,Foundation to Year 6,settlement pattern,"Spatial distribution of human settlement types, with smaller types typically forming patterns around larger ones (e.g. isolated dwellings, villages, towns, regional centres, large cities)."
HASS,HASS,Foundation to Year 6,social organisation,"Pattern of social relationships, norms, roles and institutions characteristic of a particular society or group within a society."
HASS,HASS,Foundation to Year 6,Stolen Generations (the),A name given to the generations of Aboriginal children removed from their families in the 20th century as a result of the policies of Australian and state and territory governments.
HASS,HASS,Foundation to Year 6,system of law,"Laws, processes for making those laws, and judicial systems that ensure laws are followed and enforced by members of countries or communities."
HASS,HASS,Foundation to Year 6,terra nullius,A concept in international law meaning 'a territory belonging to no-one' or 'over which no­one claims ownership'. The concept has been used to justify the colonisation of Australia.
HASS,HASS,Foundation to Year 6,trade,The import (buying) and export (selling) of goods and services in the economy.
HASS,HASS,Foundation to Year 6,traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
HASS,HASS,Foundation to Year 6,types of resources,"Natural or land (e.g. water, coal, wheat); human or labour (e.g. workers, business owners, volunteers); capital (e.g. tools, machines, technologies) and enterprise (e.g. entrepreneurial behaviours)."
HASS,HASS,Foundation to Year 6,unscaled timeline,A timeline that shows events in chronological order but without a scale for the distance in time between the events represented.
HASS,HASS,Foundation to Year 6,urban place,"A developed place where people live, which has a density of human structures and often high population density (e.g. towns, cities and suburbs)."
HASS,HASS,Foundation to Year 6,validity,The state of being logically or factually sound.
HASS,HASS,Foundation to Year 6,values,Ideas and beliefs specific to individuals and groups.
HASS,HASS,Foundation to Year 6,vegetation,"Plant life or plant cover arranged across Earth's surface (e.g. trees, grasses or mosses)."
HASS,HASS,Foundation to Year 6,voting,A way of formally expressing choice on a proposed resolution of an issue in a parliament or electing a representative or candidate to office.
HASS,HASS,Foundation to Year 6,voting system,"The procedure used to count votes cast in an election, including the count of first preference votes or the distribution of second and other preferences (e.g. preferential or first past the post)."
HASS,HASS,Foundation to Year 6,want,"A good or service that is desired to provide satisfaction to a user, but which is not necessary for survival or to meet the basic standard of living in a community."
HASS,HASS,Foundation to Year 6,water resource,"A natural resource existing in different forms (e.g. freshwater, groundwater, precipitation), irregularly distributed and useful to people and their activities (e.g. agriculture, industry, household)."
HASS,HASS,Foundation to Year 6,weather,"The state of the atmosphere at a particular place and time, such as wind, temperature, atmospheric pressure, humidity, precipitation and cloudiness."
HASS,HASS,Foundation to Year 6,Westminster system,"United Kingdom system of government influencing Australia's Constitution (elected representatives make law, the Executive comprising ministers led by the Prime Minister is answerable to parliament)."
HASS,HASS,Foundation to Year 6,work,"Labour to produce goods and services (e.g. physical, intellectual, social or community activities usually in exchange for income to turn resources into products that satisfy unlimited wants and needs)."
